"TIMESTAMP","PAYLOAD"
"2016-05-04 00:10:22.00","01,F0,ED,01,96,1D,00,34,00,01,FF,DD"
"2016-05-04 00:10:22.01","01,F0,ED,01,96,1D,00,34,00,01,FF,DD"
"2016-05-04 00:10:22.02","01,E7,A0,01,E3,65,00,35,00,01,FF,DD"
"2016-05-04 00:10:22.03","01,E5,D8,01,E4,FE,00,35,00,02,FF,DE"
"2016-05-04 00:10:22.04","01,E5,83,01,E5,50,00,35,00,01,FF,DD"
"2016-05-04 00:10:22.05","01,E5,03,01,E3,F6,00,35,00,01,FF,DD"
"2016-05-04 00:10:22.06","01,E5,61,01,E4,BF,00,35,00,01,FF,DC"
"2016-05-04 00:10:22.07","01,E3,AD,01,E3,50,00,35,00,01,FF,DC"
"2016-05-04 00:10:22.08","01,E3,6A,01,E3,03,00,35,00,01,FF,DC"
"2016-05-04 00:10:22.09","01,E4,5D,01,E3,76,00,35,00,02,FF,DD"
"2016-05-04 00:10:22.10","01,E4,32,01,E3,98,00,35,00,02,FF,DD"
"2016-05-04 00:10:22.11","01,E2,CF,01,E2,90,00,35,00,02,FF,DE"
"2016-05-04 00:10:22.12","01,E3,A0,01,E2,ED,00,35,00,02,FF,DE"
"2016-05-04 00:10:22.13","01,E2,94,01,E2,72,00,35,00,02,FF,DE"
"2016-05-04 00:10:22.14","01,E3,18,01,E2,A1,00,34,00,00,FF,DD"
"2016-05-04 00:10:22.15","01,E1,E6,01,E1,E1,00,34,00,00,FF,DD"
"2016-05-04 00:10:22.16","01,E2,21,01,E1,94,00,35,00,01,FF,DD"
"2016-05-04 00:10:22.17","01,E2,91,01,E1,F2,00,35,00,01,FF,DD"
"2016-05-04 00:10:22.18","01,E2,79,01,E1,ED,00,35,00,02,FF,DD"
"2016-05-04 00:10:22.19","01,E2,4C,01,E1,90,00,35,00,02,FF,DD"
"2016-05-04 00:10:22.20","01,E2,B5,01,E1,FE,00,35,00,02,FF,DD"
"2016-05-04 00:10:22.21","01,E2,50,01,E1,CB,00,35,00,01,FF,DD"
"2016-05-04 00:10:22.22","01,E2,20,01,E1,C7,00,34,00,00,FF,DE"
"2016-05-04 00:10:22.23","01,E1,3B,01,E0,E9,00,34,00,00,FF,DE"
"2016-05-04 00:10:22.24","01,E1,6E,01,E1,8C,00,35,00,01,FF,DE"
"2016-05-04 00:10:22.25","01,E1,10,01,E1,04,00,35,00,01,FF,DE"
